asset_id,subject_type,subject_name,person_role,local_file,asset_kind,creator,license_id,license_url,output_sha256,review_status,rights_notes
person-fallback-daler-mehndi,person,Daler Mehndi,singer,generated/people/person-fallback-daler-mehndi.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,fc1e8581e61d64902fcff8a1ccbb0c8e5dc6d876459a71bea688a91fdc7abe21,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-deep-jandu,person,Deep Jandu,singer,generated/people/person-fallback-deep-jandu.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,ac55ff82762a9129f3a9ea375bd614e14f17e15c35ab9fb7ee628d2d2b5bac57,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-dev-anand,person,Dev Anand,actor,generated/people/person-fallback-dev-anand.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,059ce7666356df0e3bf27003ca7c86baab248d00046c36c9b793a5acf1b4e769,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-dev-dhillon,person,Dev Dhillon,singer,generated/people/person-fallback-dev-dhillon.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,9449fb270b0d507ae8a299fe7852ba3124b957bf2c48a0126529dc950985c709,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-dharmendra,person,Dharmendra,actor,generated/people/person-fallback-dharmendra.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,c58a379633aab3416b9069194deb8534545c93d148cf556f3b3708b6fc34fd7b,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-dharmpreet,person,Dharmpreet,singer,generated/people/person-fallback-dharmpreet.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,c1e4689724e61b8847224e9a40c669b44edbbf4900130eeb4de5b8d4661c48e3,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-dilip-kumar,person,Dilip Kumar,actor,generated/people/person-fallback-dilip-kumar.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,696ee431ae544493dc0b40b6ce5edd3f0676cd3f713b3a1eca881d39951cd91a,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-durga-rangila,person,Durga Rangila,singer,generated/people/person-fallback-durga-rangila.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,4b8cbb330c6b6d4b542548b334ec7df6d89650afe6ed0e69d1f48cf1ad5168d2,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-emraan-hashmi,person,Emraan Hashmi,actor,generated/people/person-fallback-emraan-hashmi.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,a602ecb6701bbc8a00f5b79533098f58da5ea322e2d87de20c995db97a36277d,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-fakhir-mehmood,person,Fakhir Mehmood,singer,generated/people/person-fallback-fakhir-mehmood.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,310b3083ea3cdfeed5260992c09eb0068fd04ba554d6e3b12b615396cc6b75b2,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-falak-shabir,person,Falak Shabir,singer,generated/people/person-fallback-falak-shabir.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,9bcce3253c8f0bc05628bde21ef7bfc4df1fd797f5ae91b067ff6a874f7002df,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-farhan-akhtar,person,Farhan Akhtar,actor,generated/people/person-fallback-farhan-akhtar.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,7f68af6da4dcb03450b5a3aa74ebafe1899045d856f87c330121e16d38826c36,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-farhan-saeed,person,Farhan Saeed,singer,generated/people/person-fallback-farhan-saeed.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,02ad10d82d30fe718c973f90d7a83af74833630df4fbef560d244bc789929123,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-feroz-khan,person,Feroz Khan,actor,generated/people/person-fallback-feroz-khan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,d1dfad162aa992b9c61143b77acab67b631f7d98a4201f228783bc03f4a1ddb3,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-ghulam-abbas,person,Ghulam Abbas,singer,generated/people/person-fallback-ghulam-abbas.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,e1134bca0a65be387d2e1c7c96f190614779f0cc29b65fbd676aafdce06bd031,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-gohar-mumtaz,person,Gohar Mumtaz,singer,generated/people/person-fallback-gohar-mumtaz.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,b06ab091e38aeffe051505ee599757d2a7eb64aafafb8b23c196e38c431004fc,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-gul-panra,person,Gul Panra,singer,generated/people/person-fallback-gul-panra.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,865f3014cbbcab1d6786958ff2fa41f910aea3997fef60dc1e69ea33f7ace8e1,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-gulshan-grover,person,Gulshan Grover,actor,generated/people/person-fallback-gulshan-grover.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,cb7130f804e4d14b170d3592ced053950d5f85367d5267fd49c9507ffe9afffe,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-guri,person,Guri,singer,generated/people/person-fallback-guri.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,806b677b2a9471e48050b648c793e8fc4b0d8e3d7bc28eadb2754676e5cb3d1d,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-gurnam-bhullar,person,Gurnam Bhullar,singer,generated/people/person-fallback-gurnam-bhullar.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,dcf6e65c8e1fe351a02a7ccf08d7de7d67723c6d1924c79c6f1a63e9e3692082,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-gurshabad,person,Gurshabad,singer,generated/people/person-fallback-gurshabad.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,650c61bc70e88006369b0754de6f28ee12ee9983696d93822460145f836c0e67,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-guru-randhawa,person,Guru Randhawa,singer,generated/people/person-fallback-guru-randhawa.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,fe970952c310bb6655bfb0dd9304835d2b4ae4155162860164d6e3ce69834f55,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
